text,label,source
Batho ba kagiso dikgethololo,2,lexicon_generated
Ke bona thuto,1,lexicon_generated
batho e thabo thata,2,lexicon_generated
Ke bona polotiki,1,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Batho ba sentle tshiamelo,2,lexicon_generated
Re kgotso ka boeteledipele,2,lexicon_generated
Batho ba molemo boeteledipele,2,lexicon_generated
Ke tlhokafalo molao,0,lexicon_generated
Re kutlwelobotlhoko ka thulaganyo,2,lexicon_generated
Re tshiamo ka tokololo,2,lexicon_generated
puso e kgatelelo thata,0,lexicon_generated
Re lapile ka tshiamelo,0,lexicon_generated
Re botlhoko ka modulasetilo,0,lexicon_generated
Re pabalesego ka thulaganyo,2,lexicon_generated
Ke tlhokafalo tshiamelo,0,lexicon_generated
kgethololo e botlhoko thata,0,lexicon_generated
Batho ba thabo batho,2,lexicon_generated
batho o dira kgatelelo,0,lexicon_generated
Ke bosula tonakgolo,0,lexicon_generated
kgethololo e teng,1,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
Ke pabalesego modulasetilo,2,lexicon_generated
Re hutsafala ka tonakgolo,0,lexicon_generated
Re kgotla ka modulasetilo,2,lexicon_generated
kgethololo o kae,1,lexicon_generated
Ke kgotso dikgethololo,2,lexicon_generated
Re kgotla ka modulasetilo,2,lexicon_generated
Re itse boitekanelo,1,lexicon_generated
Batho ba kgotla batho,2,lexicon_generated
modulasetilo o dira pabalesego,2,lexicon_generated
molao e bosula thata,0,lexicon_generated
Re bogale ka ditshwanelo,0,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
Ke dikgwetlho thuto,0,lexicon_generated
Ke botoka modulasetilo,2,lexicon_generated
palamente e kgatelelo thata,0,lexicon_generated
ditshwanelo o dira boitumelo,2,lexicon_generated
Re monate ka boitekanelo,2,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
palamente e monate thata,2,lexicon_generated
Re kgotla ka tonakgolo,2,lexicon_generated
Batho ba bua ka ditshwanelo,1,lexicon_generated
ditshwanelo e boammaaruri thata,2,lexicon_generated
Re boikepo ka boeteledipele,0,lexicon_generated
tshiamelo o dira kgotso,2,lexicon_generated
molao o kae,1,lexicon_generated
modulasetilo o kae,1,lexicon_generated
Batho ba kutlwelobotlhoko palamente,2,lexicon_generated
thulaganyo e teng,1,lexicon_generated
Re molemo ka dikgethololo,2,lexicon_generated
Batho ba sentle kgethololo,2,lexicon_generated
tokololo o dira kutlwelobotlhoko,0,lexicon_generated
ikonomi e kgalefo thata,0,lexicon_generated
Re tlhong ka tshiamelo,0,lexicon_generated
Re itse ikonomi,1,lexicon_generated
boitekanelo o kae,1,lexicon_generated
Ke monate batho,2,lexicon_generated
ikonomi e teng,1,lexicon_generated
Ke tlhokafalo ditshwanelo,0,lexicon_generated
tonakgolo o dira lapile,0,lexicon_generated
palamente o kae,1,lexicon_generated
Batho ba dikgwetlho puso,0,lexicon_generated
Ke tlhokafalo ditshwanelo,0,lexicon_generated
thulaganyo o kae,1,lexicon_generated
Ke bona tokololo,1,lexicon_generated
Batho ba botoka lekgotla,2,lexicon_generated
Batho ba bua ka tokololo,1,lexicon_generated
Batho ba tlhaelo polotiki,0,lexicon_generated
Ke sentle boeteledipele,2,lexicon_generated
tonakgolo o dira boferefere,0,lexicon_generated
modulasetilo e teng,1,lexicon_generated
Re tlhaelo ka thulaganyo,0,lexicon_generated
tonakgolo e kutlwelobotlhoko thata,2,lexicon_generated
Ke dikgwetlho tshiamelo,0,lexicon_generated
ditshwanelo o dira botlhoko,0,lexicon_generated
Re botoka ka puso,2,lexicon_generated
Re kutlwelobotlhoko ka thulaganyo,0,lexicon_generated
Re siame ka dikgethololo,2,lexicon_generated
thuto o kae,1,lexicon_generated
Batho ba bua ka tonakgolo,1,lexicon_generated
Batho ba boikepo boeteledipele,0,lexicon_generated
Batho ba maswe boeteledipele,0,lexicon_generated
lekgotla e teng,1,lexicon_generated
setšhaba e botoka thata,2,lexicon_generated
molao e maswe thata,0,lexicon_generated
dikgethololo e dikgwetlho thata,0,lexicon_generated
Batho ba bua ka polotiki,1,lexicon_generated
Ke thabo thulaganyo,2,lexicon_generated
Ke tlhokafalo boeteledipele,0,lexicon_generated
dikgethololo e teng,1,lexicon_generated
Re itse polotiki,1,lexicon_generated
Batho ba kutlwelobotlhoko ditshwanelo,2,lexicon_generated
Batho ba bua ka boeteledipele,1,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
Ke bona kgethololo,1,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
Batho ba sentle lekgotla,2,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Batho ba kutlwelobotlhoko tshiamelo,2,lexicon_generated
lekgotla e kagiso thata,2,lexicon_generated
ikonomi o kae,1,lexicon_generated
batho o dira boitumelo,2,lexicon_generated
tonakgolo o dira mathata,0,lexicon_generated
Ke bogale batho,0,lexicon_generated
Batho ba lapile kgethololo,0,lexicon_generated
ikonomi o kae,1,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Ke tlhokafalo molao,0,lexicon_generated
polotiki o dira sentle,2,lexicon_generated
dikgethololo o dira rata,2,lexicon_generated
polotiki o dira tlhokafalo,0,lexicon_generated
Re boikepo ka polotiki,0,lexicon_generated
palamente e dikgwetlho thata,0,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Batho ba kgatelelo polotiki,0,lexicon_generated
Batho ba kgotla mmuso,2,lexicon_generated
kgethololo e teng,1,lexicon_generated
molao e kgatelelo thata,0,lexicon_generated
Re botoka ka polotiki,2,lexicon_generated
Batho ba bosula palamente,0,lexicon_generated
Re itse setšhaba,1,lexicon_generated
Re itse batho,1,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Batho ba bua ka tonakgolo,1,lexicon_generated
Batho ba maswe ditshwanelo,0,lexicon_generated
Ke molemo setšhaba,2,lexicon_generated
kgethololo o dira boitumelo,2,lexicon_generated
Ke hutsafala setšhaba,0,lexicon_generated
Ke kagiso tonakgolo,2,lexicon_generated
Batho ba kgatelelo setšhaba,0,lexicon_generated
tonakgolo e teng,1,lexicon_generated
Ke bona thuto,1,lexicon_generated
Batho ba kagiso tokololo,2,lexicon_generated
Re itse polotiki,1,lexicon_generated
thulaganyo e tlhong thata,0,lexicon_generated
Ke kgotla setšhaba,2,lexicon_generated
Ke bona puso,1,lexicon_generated
Ke thabo thuto,2,lexicon_generated
Batho ba kagiso polotiki,2,lexicon_generated
Re siame ka puso,2,lexicon_generated
Ke bona thuto,1,lexicon_generated
boeteledipele e kgotso thata,2,lexicon_generated
Batho ba kagiso thulaganyo,2,lexicon_generated
Ke kagiso thulaganyo,2,lexicon_generated
Ke bona tokololo,1,lexicon_generated
Re itse tshiamelo,1,lexicon_generated
Ke boammaaruri tokololo,2,lexicon_generated
tshiamelo o kae,1,lexicon_generated
Re itse boitekanelo,1,lexicon_generated
setšhaba o dira mathata,0,lexicon_generated
ditshwanelo o dira itumelela,2,lexicon_generated
puso o dira thabo,2,lexicon_generated
ikonomi o dira rata,2,lexicon_generated
ikonomi e teng,1,lexicon_generated
palamente e teng,1,lexicon_generated
Batho ba mathata modulasetilo,0,lexicon_generated
Re itse tshiamelo,1,lexicon_generated
Ke itumelela dikgethololo,2,lexicon_generated
Batho ba pabalesego batho,2,lexicon_generated
Batho ba botoka dikgethololo,2,lexicon_generated
ditshwanelo o dira tlhaelo,0,lexicon_generated
Batho ba bua ka molao,1,lexicon_generated
puso o dira monate,2,lexicon_generated
Ke boferefere polotiki,0,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Re kgatelelo ka modulasetilo,0,lexicon_generated
ikonomi o dira hutsafala,0,lexicon_generated
Batho ba botoka modulasetilo,2,lexicon_generated
Re itse palamente,1,lexicon_generated
thuto o dira boammaaruri,2,lexicon_generated
Batho ba dikgwetlho kgethololo,0,lexicon_generated
Ke bona puso,1,lexicon_generated
molao e pabalesego thata,2,lexicon_generated
puso e teng,1,lexicon_generated
Ke bona boitekanelo,1,lexicon_generated
Ke siame palamente,2,lexicon_generated
batho e teng,1,lexicon_generated
Re tshiamo ka mmuso,2,lexicon_generated
Re maswe ka mmuso,0,lexicon_generated
Batho ba boitumelo thuto,2,lexicon_generated
tokololo e teng,1,lexicon_generated
Batho ba siame mmuso,2,lexicon_generated
tshiamelo o dira tshiamo,2,lexicon_generated
Ke dikgwetlho puso,0,lexicon_generated
Ke boitumelo batho,2,lexicon_generated
puso e teng,1,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
Batho ba rata dikgethololo,2,lexicon_generated
thulaganyo o dira dikgwetlho,0,lexicon_generated
Ke boikepo batho,0,lexicon_generated
batho o dira boikepo,0,lexicon_generated
Ke bona polotiki,1,lexicon_generated
Ke monate tonakgolo,2,lexicon_generated
Batho ba bogale ditshwanelo,0,lexicon_generated
Re tlhokafalo ka modulasetilo,0,lexicon_generated
kgethololo e botoka thata,2,lexicon_generated
tokololo e teng,1,lexicon_generated
Batho ba bua ka tokololo,1,lexicon_generated
Re itse kgethololo,1,lexicon_generated
thulaganyo o dira kutlwelobotlhoko,0,lexicon_generated
Ke lapile ditshwanelo,0,lexicon_generated
tshiamelo e boitumelo thata,2,lexicon_generated
thulaganyo e kutlwelobotlhoko thata,0,lexicon_generated
Batho ba botoka polotiki,2,lexicon_generated
Re kagiso ka ditshwanelo,2,lexicon_generated
mmuso e tshiamo thata,2,lexicon_generated
boitekanelo e teng,1,lexicon_generated
lekgotla e teng,1,lexicon_generated
palamente e kutlwelobotlhoko thata,0,lexicon_generated
boitekanelo o dira lapile,0,lexicon_generated
puso o kae,1,lexicon_generated
thuto o dira tlhokafalo,0,lexicon_generated
ikonomi o dira boammaaruri,2,lexicon_generated
palamente o dira monate,2,lexicon_generated
thuto e siame thata,2,lexicon_generated
Re boitumelo ka modulasetilo,2,lexicon_generated
tshiamelo o dira mathata,0,lexicon_generated
Ke bona setšhaba,1,lexicon_generated
Ke dikgwetlho kgethololo,0,lexicon_generated
Ke botoka thulaganyo,2,lexicon_generated
Re kagiso ka boeteledipele,2,lexicon_generated
Ke lapile palamente,0,lexicon_generated
Re kgatelelo ka palamente,0,lexicon_generated
mmuso o dira kgalefo,0,lexicon_generated
Batho ba bua ka palamente,1,lexicon_generated
Re mathata ka ditshwanelo,0,lexicon_generated
Batho ba bua ka dikgethololo,1,lexicon_generated
Batho ba monate puso,2,lexicon_generated
Re tlhaelo ka molao,0,lexicon_generated
puso o dira kutlwelobotlhoko,2,lexicon_generated
tonakgolo o dira dikgwetlho,0,lexicon_generated
mmuso o kae,1,lexicon_generated
Batho ba kgotso ditshwanelo,2,lexicon_generated
batho o dira rata,2,lexicon_generated
Batho ba kgotla mmuso,2,lexicon_generated
thulaganyo o kae,1,lexicon_generated
Ke boammaaruri boeteledipele,2,lexicon_generated
setšhaba o dira botoka,2,lexicon_generated
thulaganyo o kae,1,lexicon_generated
Batho ba monate setšhaba,2,lexicon_generated
molao o dira pabalesego,2,lexicon_generated
dikgethololo o dira tlhokafalo,0,lexicon_generated
Ke tlhaelo mmuso,0,lexicon_generated
Re mathata ka ikonomi,0,lexicon_generated
polotiki o kae,1,lexicon_generated
Batho ba monate modulasetilo,2,lexicon_generated
thuto e teng,1,lexicon_generated
Re dikgwetlho ka thuto,0,lexicon_generated
Batho ba mathata polotiki,0,lexicon_generated
Re kutlwelobotlhoko ka dikgethololo,0,lexicon_generated
Re kgatelelo ka setšhaba,0,lexicon_generated
Batho ba kgalefo dikgethololo,0,lexicon_generated
Re bosula ka batho,0,lexicon_generated
tshiamelo o kae,1,lexicon_generated
dikgethololo o kae,1,lexicon_generated
Batho ba itumelela mmuso,2,lexicon_generated
molao o dira tlhong,0,lexicon_generated
Batho ba siame tonakgolo,2,lexicon_generated
dikgethololo e dikgwetlho thata,0,lexicon_generated
tshiamelo e pabalesego thata,2,lexicon_generated
Ke botlhoko setšhaba,0,lexicon_generated
ikonomi e teng,1,lexicon_generated
Ke itumelela dikgethololo,2,lexicon_generated
Ke sentle thulaganyo,2,lexicon_generated
Batho ba molemo molao,2,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Batho ba bua ka tshiamelo,1,lexicon_generated
Ke sentle modulasetilo,2,lexicon_generated
Ke lapile thuto,0,lexicon_generated
tokololo o kae,1,lexicon_generated
Re molemo ka tonakgolo,2,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
Re rata ka batho,2,lexicon_generated
molao e kgalefo thata,0,lexicon_generated
tokololo o dira botlhoko,0,lexicon_generated
Batho ba rata ditshwanelo,2,lexicon_generated
Batho ba botlhoko palamente,0,lexicon_generated
Re itse ikonomi,1,lexicon_generated
Batho ba boammaaruri palamente,2,lexicon_generated
Batho ba bua ka dikgethololo,1,lexicon_generated
tokololo e molemo thata,2,lexicon_generated
thulaganyo o kae,1,lexicon_generated
boeteledipele e hutsafala thata,0,lexicon_generated
Ke kgotso mmuso,2,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
Ke bona palamente,1,lexicon_generated
Re itse tonakgolo,1,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
kgethololo e teng,1,lexicon_generated
Re bosula ka polotiki,0,lexicon_generated
boitekanelo e teng,1,lexicon_generated
dikgethololo e tlhokafalo thata,0,lexicon_generated
Re itse lekgotla,1,lexicon_generated
kgethololo o kae,1,lexicon_generated
Batho ba lapile dikgethololo,0,lexicon_generated
Ke maswe kgethololo,0,lexicon_generated
Re kutlwelobotlhoko ka ikonomi,0,lexicon_generated
Batho ba thabo ditshwanelo,2,lexicon_generated
Ke bona modulasetilo,1,lexicon_generated
dikgethololo o dira kgalefo,0,lexicon_generated
boeteledipele e monate thata,2,lexicon_generated
palamente o dira kagiso,2,lexicon_generated
Batho ba botlhoko tshiamelo,0,lexicon_generated
Ke bona kgethololo,1,lexicon_generated
Ke bona thuto,1,lexicon_generated
boeteledipele o dira siame,2,lexicon_generated
Ke sentle boeteledipele,2,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
tokololo e bosula thata,0,lexicon_generated
Batho ba kgatelelo mmuso,0,lexicon_generated
batho e tshiamo thata,2,lexicon_generated
Ke boammaaruri ditshwanelo,2,lexicon_generated
Batho ba bogale lekgotla,0,lexicon_generated
Batho ba bogale kgethololo,0,lexicon_generated
boeteledipele e siame thata,2,lexicon_generated
polotiki o dira dikgwetlho,0,lexicon_generated
Ke bona palamente,1,lexicon_generated
tonakgolo o dira botlhoko,0,lexicon_generated
Ke bona mmuso,1,lexicon_generated
Re tlhong ka boitekanelo,0,lexicon_generated
Re itse dikgethololo,1,lexicon_generated
Batho ba kgatelelo modulasetilo,0,lexicon_generated
Re itse boitekanelo,1,lexicon_generated
tshiamelo e teng,1,lexicon_generated
Batho ba tlhokafalo tshiamelo,0,lexicon_generated
polotiki o kae,1,lexicon_generated
kgethololo o dira kgalefo,0,lexicon_generated
Re boitumelo ka boitekanelo,2,lexicon_generated
Re itse batho,1,lexicon_generated
Re boikepo ka modulasetilo,0,lexicon_generated
setšhaba e teng,1,lexicon_generated
polotiki o dira lapile,0,lexicon_generated
Re itse modulasetilo,1,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
Ke bona palamente,1,lexicon_generated
molao e teng,1,lexicon_generated
Re bogale ka modulasetilo,0,lexicon_generated
Re maswe ka ditshwanelo,0,lexicon_generated
boeteledipele e teng,1,lexicon_generated
Ke kgatelelo polotiki,0,lexicon_generated
boitekanelo e kgotla thata,2,lexicon_generated
