text,label,source
tshiamelo o dira kgatelelo,0,lexicon_generated
Batho ba bua ka mmuso,1,lexicon_generated
Ke bona mmuso,1,lexicon_generated
Ke mathata tokololo,0,lexicon_generated
setšhaba o dira tlhaelo,0,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Re thabo ka boitekanelo,2,lexicon_generated
Ke kutlwelobotlhoko tshiamelo,2,lexicon_generated
Batho ba bua ka batho,1,lexicon_generated
puso e botoka thata,2,lexicon_generated
Batho ba kgatelelo kgethololo,0,lexicon_generated
dikgethololo o dira kutlwelobotlhoko,0,lexicon_generated
Re botlhoko ka tshiamelo,0,lexicon_generated
Batho ba kgotso tonakgolo,2,lexicon_generated
polotiki o kae,1,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
kgethololo e teng,1,lexicon_generated
Batho ba lapile tokololo,0,lexicon_generated
kgethololo o kae,1,lexicon_generated
Batho ba siame setšhaba,2,lexicon_generated
boeteledipele e teng,1,lexicon_generated
Ke tlhokafalo ditshwanelo,0,lexicon_generated
puso e rata thata,2,lexicon_generated
Batho ba bua ka mmuso,1,lexicon_generated
Batho ba boikepo tshiamelo,0,lexicon_generated
tokololo o dira botlhoko,0,lexicon_generated
modulasetilo e hutsafala thata,0,lexicon_generated
boeteledipele e maswe thata,0,lexicon_generated
Ke bona dikgethololo,1,lexicon_generated
lekgotla e botlhoko thata,0,lexicon_generated
boeteledipele o kae,1,lexicon_generated
tonakgolo e teng,1,lexicon_generated
Batho ba hutsafala modulasetilo,0,lexicon_generated
Batho ba bua ka modulasetilo,1,lexicon_generated
Batho ba monate lekgotla,2,lexicon_generated
Re tlhaelo ka tokololo,0,lexicon_generated
mmuso o kae,1,lexicon_generated
tokololo o kae,1,lexicon_generated
tokololo o dira kgotso,2,lexicon_generated
setšhaba o dira bogale,0,lexicon_generated
Batho ba bua ka tshiamelo,1,lexicon_generated
boitekanelo o dira kgalefo,0,lexicon_generated
boeteledipele o kae,1,lexicon_generated
thuto o dira tshiamo,2,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Re rata ka puso,2,lexicon_generated
batho o dira boitumelo,2,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
tshiamelo e teng,1,lexicon_generated
mmuso o dira tlhaelo,0,lexicon_generated
Ke kgatelelo lekgotla,0,lexicon_generated
Re maswe ka tokololo,0,lexicon_generated
Ke mathata mmuso,0,lexicon_generated
modulasetilo e botoka thata,2,lexicon_generated
molao e monate thata,2,lexicon_generated
dikgethololo o dira tlhokafalo,0,lexicon_generated
Re lapile ka puso,0,lexicon_generated
Batho ba bua ka palamente,1,lexicon_generated
puso e sentle thata,2,lexicon_generated
Batho ba boikepo puso,0,lexicon_generated
Ke botoka molao,2,lexicon_generated
Re itse boitekanelo,1,lexicon_generated
Ke bona boeteledipele,1,lexicon_generated
puso o kae,1,lexicon_generated
Re botlhoko ka mmuso,0,lexicon_generated
thulaganyo e kgalefo thata,0,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Ke tlhaelo dikgethololo,0,lexicon_generated
Ke rata batho,2,lexicon_generated
polotiki e sentle thata,2,lexicon_generated
Batho ba rata mmuso,2,lexicon_generated
ditshwanelo e tlhong thata,0,lexicon_generated
setšhaba e teng,1,lexicon_generated
Batho ba sentle kgethololo,2,lexicon_generated
boeteledipele e teng,1,lexicon_generated
Re kgalefo ka kgethololo,0,lexicon_generated
Batho ba boitumelo thulaganyo,2,lexicon_generated
tshiamelo o dira tlhaelo,0,lexicon_generated
tokololo e boitumelo thata,2,lexicon_generated
dikgethololo o dira maswe,0,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
Batho ba bua ka molao,1,lexicon_generated
Re bosula ka boitekanelo,0,lexicon_generated
Re kagiso ka modulasetilo,2,lexicon_generated
Re boikepo ka boitekanelo,0,lexicon_generated
Re tlhong ka mmuso,0,lexicon_generated
Batho ba pabalesego mmuso,2,lexicon_generated
mmuso o dira botlhoko,0,lexicon_generated
Ke bona kgethololo,1,lexicon_generated
boitekanelo o kae,1,lexicon_generated
Re itse tonakgolo,1,lexicon_generated
thulaganyo o kae,1,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Batho ba boikepo thulaganyo,0,lexicon_generated
dikgethololo o kae,1,lexicon_generated
polotiki o kae,1,lexicon_generated
dikgethololo o dira kgatelelo,0,lexicon_generated
Re itumelela ka ikonomi,2,lexicon_generated
molao o dira rata,2,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Re rata ka setšhaba,2,lexicon_generated
Batho ba kutlwelobotlhoko tshiamelo,2,lexicon_generated
Ke rata thulaganyo,2,lexicon_generated
Batho ba kgotla molao,2,lexicon_generated
ikonomi e tshiamo thata,2,lexicon_generated
Ke tlhaelo setšhaba,0,lexicon_generated
Ke botlhoko thulaganyo,0,lexicon_generated
ditshwanelo o dira molemo,2,lexicon_generated
Ke bona tokololo,1,lexicon_generated
Re molemo ka ikonomi,2,lexicon_generated
puso o dira maswe,0,lexicon_generated
thuto o dira molemo,2,lexicon_generated
Re boitumelo ka polotiki,2,lexicon_generated
lekgotla e botlhoko thata,0,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
thulaganyo o dira tshiamo,2,lexicon_generated
lekgotla o dira kgatelelo,0,lexicon_generated
Re boammaaruri ka boeteledipele,2,lexicon_generated
Ke bona boeteledipele,1,lexicon_generated
Batho ba bua ka tshiamelo,1,lexicon_generated
Batho ba tshiamo modulasetilo,2,lexicon_generated
dikgethololo e teng,1,lexicon_generated
batho o dira botoka,2,lexicon_generated
Ke bona molao,1,lexicon_generated
Re tshiamo ka thulaganyo,2,lexicon_generated
Batho ba bua ka ditshwanelo,1,lexicon_generated
Re itse molao,1,lexicon_generated
Re pabalesego ka thuto,2,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
Ke kgatelelo palamente,0,lexicon_generated
Ke bona lekgotla,1,lexicon_generated
Batho ba kgotso batho,2,lexicon_generated
batho e bosula thata,0,lexicon_generated
dikgethololo e itumelela thata,2,lexicon_generated
Ke itumelela ikonomi,2,lexicon_generated
tshiamelo e teng,1,lexicon_generated
tokololo o kae,1,lexicon_generated
molao e teng,1,lexicon_generated
Re monate ka boeteledipele,2,lexicon_generated
ikonomi e thabo thata,2,lexicon_generated
batho e bosula thata,0,lexicon_generated
boitekanelo o dira kutlwelobotlhoko,2,lexicon_generated
Re itse boitekanelo,1,lexicon_generated
Batho ba tshiamo batho,2,lexicon_generated
Batho ba bua ka batho,1,lexicon_generated
Ke kgalefo tokololo,0,lexicon_generated
Re itse boeteledipele,1,lexicon_generated
Batho ba boitumelo thulaganyo,2,lexicon_generated
Re tlhong ka kgethololo,0,lexicon_generated
Re boikepo ka dikgethololo,0,lexicon_generated
Ke kutlwelobotlhoko lekgotla,2,lexicon_generated
Batho ba bua ka boeteledipele,1,lexicon_generated
setšhaba o dira kgotso,2,lexicon_generated
polotiki o dira dikgwetlho,0,lexicon_generated
Re tlhaelo ka lekgotla,0,lexicon_generated
Batho ba kagiso setšhaba,2,lexicon_generated
Batho ba bogale modulasetilo,0,lexicon_generated
Re itse modulasetilo,1,lexicon_generated
kgethololo e lapile thata,0,lexicon_generated
Batho ba molemo palamente,2,lexicon_generated
ikonomi o dira kgotla,2,lexicon_generated
boitekanelo o kae,1,lexicon_generated
Re pabalesego ka polotiki,2,lexicon_generated
boitekanelo e siame thata,2,lexicon_generated
boitekanelo e teng,1,lexicon_generated
Batho ba boammaaruri tokololo,2,lexicon_generated
Ke dikgwetlho boeteledipele,0,lexicon_generated
Ke bona palamente,1,lexicon_generated
Ke bona thuto,1,lexicon_generated
Batho ba mathata tshiamelo,0,lexicon_generated
Ke itumelela molao,2,lexicon_generated
boeteledipele e kutlwelobotlhoko thata,0,lexicon_generated
Ke molemo kgethololo,2,lexicon_generated
Batho ba pabalesego molao,2,lexicon_generated
Re itse puso,1,lexicon_generated
kgethololo o dira botlhoko,0,lexicon_generated
Re boikepo ka dikgethololo,0,lexicon_generated
polotiki o dira kutlwelobotlhoko,0,lexicon_generated
Re kgotso ka tshiamelo,2,lexicon_generated
Re itse kgethololo,1,lexicon_generated
Batho ba tlhong dikgethololo,0,lexicon_generated
batho e teng,1,lexicon_generated
Re kgatelelo ka setšhaba,0,lexicon_generated
ikonomi e botoka thata,2,lexicon_generated
Re kgalefo ka batho,0,lexicon_generated
Ke bona tonakgolo,1,lexicon_generated
ikonomi e teng,1,lexicon_generated
Ke boammaaruri tokololo,2,lexicon_generated
Re kutlwelobotlhoko ka thulaganyo,0,lexicon_generated
boeteledipele e kgotso thata,2,lexicon_generated
palamente e botlhoko thata,0,lexicon_generated
puso e thabo thata,2,lexicon_generated
Ke rata mmuso,2,lexicon_generated
Batho ba bosula kgethololo,0,lexicon_generated
palamente o kae,1,lexicon_generated
Ke bogale batho,0,lexicon_generated
batho o kae,1,lexicon_generated
Ke maswe tonakgolo,0,lexicon_generated
Batho ba bua ka ikonomi,1,lexicon_generated
Re maswe ka dikgethololo,0,lexicon_generated
kgethololo o dira tlhaelo,0,lexicon_generated
Re itse kgethololo,1,lexicon_generated
polotiki e maswe thata,0,lexicon_generated
Re boikepo ka modulasetilo,0,lexicon_generated
Batho ba tlhokafalo thulaganyo,0,lexicon_generated
thuto o kae,1,lexicon_generated
Ke dikgwetlho setšhaba,0,lexicon_generated
Re tlhaelo ka ikonomi,0,lexicon_generated
ditshwanelo e kgotla thata,2,lexicon_generated
ditshwanelo e mathata thata,0,lexicon_generated
batho e mathata thata,0,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
thulaganyo e tshiamo thata,2,lexicon_generated
tokololo o dira pabalesego,2,lexicon_generated
Ke thabo boeteledipele,2,lexicon_generated
Re kutlwelobotlhoko ka setšhaba,2,lexicon_generated
Re itse tonakgolo,1,lexicon_generated
ikonomi o dira tlhaelo,0,lexicon_generated
thuto e kutlwelobotlhoko thata,0,lexicon_generated
Batho ba bua ka thulaganyo,1,lexicon_generated
Batho ba mathata molao,0,lexicon_generated
Re itse modulasetilo,1,lexicon_generated
thulaganyo e bosula thata,0,lexicon_generated
Re itse setšhaba,1,lexicon_generated
dikgethololo o dira boitumelo,2,lexicon_generated
Batho ba rata mmuso,2,lexicon_generated
Re itse palamente,1,lexicon_generated
dikgethololo o dira kagiso,2,lexicon_generated
Re itse ikonomi,1,lexicon_generated
Re tlhaelo ka thulaganyo,0,lexicon_generated
Re kutlwelobotlhoko ka tshiamelo,2,lexicon_generated
Ke boikepo lekgotla,0,lexicon_generated
tshiamelo o dira dikgwetlho,0,lexicon_generated
Ke bona polotiki,1,lexicon_generated
ditshwanelo o dira kgatelelo,0,lexicon_generated
molao o kae,1,lexicon_generated
kgethololo e kagiso thata,2,lexicon_generated
lekgotla o dira itumelela,2,lexicon_generated
polotiki o dira tlhong,0,lexicon_generated
Ke kgatelelo puso,0,lexicon_generated
Batho ba thabo kgethololo,2,lexicon_generated
setšhaba e bosula thata,0,lexicon_generated
Ke bona thulaganyo,1,lexicon_generated
Ke botoka tokololo,2,lexicon_generated
puso e teng,1,lexicon_generated
Batho ba bua ka boeteledipele,1,lexicon_generated
Ke kgalefo modulasetilo,0,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
Ke kutlwelobotlhoko dikgethololo,0,lexicon_generated
mmuso o dira boikepo,0,lexicon_generated
boeteledipele o kae,1,lexicon_generated
Re rata ka lekgotla,2,lexicon_generated
Re itse dikgethololo,1,lexicon_generated
Re itse setšhaba,1,lexicon_generated
Batho ba bua ka tshiamelo,1,lexicon_generated
Ke bona batho,1,lexicon_generated
Ke tlhokafalo batho,0,lexicon_generated
Ke bona dikgethololo,1,lexicon_generated
Ke bona kgethololo,1,lexicon_generated
kgethololo o kae,1,lexicon_generated
polotiki e tshiamo thata,2,lexicon_generated
Ke bona ditshwanelo,1,lexicon_generated
Ke lapile tshiamelo,0,lexicon_generated
Re itse ikonomi,1,lexicon_generated
kgethololo e teng,1,lexicon_generated
Ke sentle ikonomi,2,lexicon_generated
boeteledipele o dira thabo,2,lexicon_generated
Ke boferefere tshiamelo,0,lexicon_generated
boitekanelo o dira monate,2,lexicon_generated
Re tlhaelo ka modulasetilo,0,lexicon_generated
Batho ba bua ka ikonomi,1,lexicon_generated
Re kgotso ka molao,2,lexicon_generated
Ke sentle tonakgolo,2,lexicon_generated
Re pabalesego ka palamente,2,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
Re mathata ka modulasetilo,0,lexicon_generated
Re kgotso ka setšhaba,2,lexicon_generated
thulaganyo e boferefere thata,0,lexicon_generated
puso e teng,1,lexicon_generated
Re kgotla ka thuto,2,lexicon_generated
puso e teng,1,lexicon_generated
Ke thabo ikonomi,2,lexicon_generated
modulasetilo o dira bosula,0,lexicon_generated
Batho ba boikepo tonakgolo,0,lexicon_generated
tonakgolo o dira maswe,0,lexicon_generated
Ke bona tshiamelo,1,lexicon_generated
mmuso o dira lapile,0,lexicon_generated
Ke bona modulasetilo,1,lexicon_generated
modulasetilo e itumelela thata,2,lexicon_generated
tshiamelo o dira tshiamo,2,lexicon_generated
puso o dira siame,2,lexicon_generated
Ke bona mmuso,1,lexicon_generated
Ke itumelela tshiamelo,2,lexicon_generated
boeteledipele e rata thata,2,lexicon_generated
Batho ba kutlwelobotlhoko palamente,0,lexicon_generated
Ke mathata boeteledipele,0,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Re itse molao,1,lexicon_generated
kgethololo e itumelela thata,2,lexicon_generated
Ke mathata tokololo,0,lexicon_generated
Batho ba boitumelo boeteledipele,2,lexicon_generated
polotiki o dira bosula,0,lexicon_generated
Re itumelela ka boitekanelo,2,lexicon_generated
thulaganyo o dira boammaaruri,2,lexicon_generated
Ke kgotso kgethololo,2,lexicon_generated
Batho ba bua ka boitekanelo,1,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
Re itse puso,1,lexicon_generated
Re pabalesego ka setšhaba,2,lexicon_generated
palamente o dira sentle,2,lexicon_generated
batho o dira rata,2,lexicon_generated
Ke bona boitekanelo,1,lexicon_generated
kgethololo e botoka thata,2,lexicon_generated
batho e teng,1,lexicon_generated
Batho ba siame puso,2,lexicon_generated
Ke kutlwelobotlhoko molao,2,lexicon_generated
tonakgolo e bogale thata,0,lexicon_generated
Ke tlhong mmuso,0,lexicon_generated
Batho ba bua ka palamente,1,lexicon_generated
Ke bona palamente,1,lexicon_generated
Re boitumelo ka ikonomi,2,lexicon_generated
puso e teng,1,lexicon_generated
tonakgolo o kae,1,lexicon_generated
tshiamelo e teng,1,lexicon_generated
Ke pabalesego tonakgolo,2,lexicon_generated
palamente e pabalesego thata,2,lexicon_generated
Batho ba bua ka puso,1,lexicon_generated
ikonomi o kae,1,lexicon_generated
modulasetilo e maswe thata,0,lexicon_generated
Re thabo ka boitekanelo,2,lexicon_generated
Ke bona thuto,1,lexicon_generated
thulaganyo o dira kutlwelobotlhoko,2,lexicon_generated
Ke botlhoko palamente,0,lexicon_generated
Batho ba bua ka kgethololo,1,lexicon_generated
Re itse palamente,1,lexicon_generated
Batho ba kgalefo puso,0,lexicon_generated
Batho ba lapile ikonomi,0,lexicon_generated
ikonomi e monate thata,2,lexicon_generated
Re kagiso ka kgethololo,2,lexicon_generated
Re itse modulasetilo,1,lexicon_generated
Re siame ka kgethololo,2,lexicon_generated
ikonomi o kae,1,lexicon_generated
tshiamelo o dira mathata,0,lexicon_generated
ikonomi e botlhoko thata,0,lexicon_generated
Batho ba tlhong modulasetilo,0,lexicon_generated
tshiamelo e teng,1,lexicon_generated
molao e teng,1,lexicon_generated
Batho ba bua ka setšhaba,1,lexicon_generated
polotiki e tlhokafalo thata,0,lexicon_generated
tshiamelo e monate thata,2,lexicon_generated
Re itse thuto,1,lexicon_generated
Re tlhokafalo ka dikgethololo,0,lexicon_generated
Ke pabalesego thulaganyo,2,lexicon_generated
Re kgotso ka batho,2,lexicon_generated
batho e tlhaelo thata,0,lexicon_generated
molao e tlhokafalo thata,0,lexicon_generated
ikonomi o kae,1,lexicon_generated
Ke bona ikonomi,1,lexicon_generated
tonakgolo o dira tshiamo,2,lexicon_generated
modulasetilo e dikgwetlho thata,0,lexicon_generated
Batho ba tlhong tokololo,0,lexicon_generated
Re itse setšhaba,1,lexicon_generated
molao o kae,1,lexicon_generated
Batho ba bua ka tshiamelo,1,lexicon_generated
ikonomi e hutsafala thata,0,lexicon_generated
thulaganyo o dira rata,2,lexicon_generated
Re itse polotiki,1,lexicon_generated
Batho ba itumelela tshiamelo,2,lexicon_generated
mmuso e teng,1,lexicon_generated
boitekanelo o dira kutlwelobotlhoko,0,lexicon_generated
Re sentle ka molao,2,lexicon_generated
palamente e boammaaruri thata,2,lexicon_generated
ikonomi e teng,1,lexicon_generated
Re boikepo ka boeteledipele,0,lexicon_generated
mmuso e itumelela thata,2,lexicon_generated
Batho ba siame modulasetilo,2,lexicon_generated
Ke bogale batho,0,lexicon_generated
Re tlhokafalo ka tokololo,0,lexicon_generated
Re kutlwelobotlhoko ka ikonomi,0,lexicon_generated
Re kutlwelobotlhoko ka kgethololo,2,lexicon_generated
lekgotla e teng,1,lexicon_generated
lekgotla o kae,1,lexicon_generated
mmuso o dira botoka,2,lexicon_generated
ditshwanelo o kae,1,lexicon_generated
puso o kae,1,lexicon_generated
mmuso o dira monate,2,lexicon_generated
Ke sentle modulasetilo,2,lexicon_generated
Re siame ka lekgotla,2,lexicon_generated
mmuso e lapile thata,0,lexicon_generated
tshiamelo e teng,1,lexicon_generated
lekgotla e teng,1,lexicon_generated
dikgethololo o dira rata,2,lexicon_generated
tshiamelo e teng,1,lexicon_generated
ditshwanelo o dira mathata,0,lexicon_generated
kgethololo e teng,1,lexicon_generated
